Taxon,Length,Plast,Micr,Tyl,Trach,Mel,Cnemi,Dia,T2_bands,T2_texture,T2_pits,Abd_integument,Pyg_plate,T2-4_hair,Flag1_length,Clypeus_shape,Clypeus_texture,Clypeus_midline,Fovea_color,Fovea_depth,Fovea_depth,Fovea_length,Fovea_distance,Fovea_width,Head_dimensions,Labral_length,Labral_margin,Malar,Mandible_apex,Mandible_lamella,Maxpalp_length,Vertex,Midbasitarsus_width,Femur_shape,Spurs,Tibia_shape,Scopa_color,Scopa_hairs,Flocculus,Pronotal_angle,Thorax_hair,Thorax_integument,Pronotal_ridge,Corbicula,Triangle_ridge,Triangle_sculpture,Triangle_outside,Scutum_pits,Scutum_texture,SMC,R
Andrena,,not,not,not,not,not,not,not,absent|broad,granular,absent|dense|3+,dark,present,pale|dark|mixed,long|longer,normal|bulging,dull|shinydull,absent|present,pale|darkpale|dark,shallow,shallow,long|xlong|moderate,equal|less,moderate|broad,quadrate|broad,long|moderate|short,entire|emarginate|bidentate,moderate|long|xlong,bidentate,present|tooth,2xgalea|3xgalea|1xgalea,less|equal|more,normal,normal,normal,normal|cuneate|narrow,dark|pale|mixed,simple,complete,present,pale|mixed|orange|mixed,dark|red,present,complete|incomplete,absent,0|5-50|50-80,dull,less|1-3|3+,dull|shiny|somewhat,3,long
Callandrena,[8-15],not,not,not,not,not,not,not,absent|narrow|complete|broad,granular|smooth,dense|1-3|absent,dark,present|absent,pale,long|longer,normal|flat,shiny|dull|shinydull,absent|present,pale,deep|shallow,deep|moderate,short|moderate|long,less|equal,broad|moderate|narrow,quadrate|long,short|moderate|long,entire|emarginate,short|moderate|long,bidentate,present|tooth,short,less|equal|more,expanded,normal,normal,normal,pale,plumose,complete,absent|weak,pale,dark,absent,incomplete,absent,0|5-50,dull|fine|coarse,less|absent|1-3,dull|shiny|somewhat,3,short
Cnemidandrena,,not,not,not,not,not,not,not,complete,granular,absent|1-3,dark,present|absent,pale,equal|long|longer,normal|bulging,shiny|shinydull,absent|present,pale,shallow|deep,moderate|shallow|deep,long|moderate,less|equal,broad|moderate,quadrate|broad|long,long|moderate,weak|emarginate,short|long|moderate,bidentate,present|present_broad,equal|1xgalea|2xgalea,equal|more,expanded,normal,normal,normal|cuneate,pale|dark|mixed,simple|weak|plumose,complete|incomplete,present|weak,pale,dark,present|weak,complete,absent,0|5-50,dull|fine|coarse,absent|1-3,dull|shiny|somewhat,2|3,long
Cremandrena,[8-10],not,not,not,not,not,cnemidrandrena,not,absent,granular,absent,dark,present,dark,longer,normal,dull,absent,darkpale,shallow,moderate,moderate,more,broad|moderate,broad,moderate,entire,long,bidentate,present_broad,3xgalea,less,normal|expanded,normal,normal,narrow,pale,simple,complete,absent,dark,dark,absent,incomplete,absent,0,dull,absent,dull,3,short
Dactylandrena,[9-14],not,not,not,not,not,not,not,absent,smooth,dense|1-3|3+,dark,present,dark,long|longer,flat|normal,shinydull|shiny,absent|present,dark,shallow,moderate,long|moderate,less|equal,moderate|narrow,long,moderate|long,weak|emarginate|entire|bidentate,long|xlong,bidentate,present|present_broad,2xgalea|3xgalea,equal|less,normal,normal,normal,normal|narrow,dark,simple,complete,present|weak|absent,mixed|dark|orange,dark,absent|weak,incomplete|absent,absent,0|5-50|50-80,dull,less|1-3,dull|shiny,3,long
Dasyandrena,,not,not,not,not,not,not,not,narrow|broad|complete,granular,absent|dense|3+,dark|faint,present,pale,long|longer,normal|bulging,shinydull,absent|present,pale|darkpale|dark,shallow,shallow,long|moderate,equal|more,broad,broad,short|moderate|long,entire|weak,short,bidentate|tridentate,present|present_broad,2xgalea|3xgalea,equal,normal|expanded,normal,normal,normal,pale|mixed,simple,complete,weak|absent,pale,dark,absent,incomplete|complete,absent,0|5-50|50-80,dull|coarse,less|1-3,dull|somewhat,2|3,long
Diandrena,[9-13],not,not,not,not,not,not,diandrena,absent,granular,absent|1-3,metallic,present|absent,pale|mixed,long|longer,flat|normal,dull|shinydull,absent,dark|darkpale,shallow,moderate,moderate|long,more,broad,quadrate|broad,long,emarginate|bidentate,short,bidentate,present|present_broad,3xgalea,equal|less,normal,normal,normal,,pale|mixed,simple,complete,present,pale|mixed,metallic|faint,present|weak,incomplete,absent|present,0|5-50,dull,less,dull|shiny,2,long
Euandrena,[7-14],not,not,not,not,not,not,not,complete|narrow|absent|broad,granular|smooth,absent|1-3,dark|metallic|faint,absent|present,pale|mixed,long|longer,flat|normal|bulging,dull|shinydull,absent|present,dark|darkpale|pale,shallow,moderate|shallow,moderate|long,equal|more,narrow,quadrate|long,moderate|long,entire|weak,short|moderate|long,bidentate,present|present_broad|none,2xgalea|3xgalea,equal|less,normal,normal,normal,normal,pale|mixed|dark,simple|plumose,incomplete,absent|weak,pale|mixed|orange,metallic|faint|dark|red,absent|weak,incomplete,absent,0|5-50|50-80,coarse|dull,less|1-3|absent,dull|somewhat,3,long
Geissandrena,[9-12],not,not,not,not,not,not,not,narrow|broad,granular|smooth,1-3,dark,present,pale,longer,normal,dull|shinydull,present,pale,shallow,moderate|shallow,long,equal,narrow,long,moderate|long,emarginate,short,bidentate,present,3xgalea,equal|less,normal,normal,normal,normal|narrow,pale,simple|plumose|weak,complete,present|weak,pale,dark,absent|weak,complete|incomplete,absent,50-80,coarse,less,dull|shiny,3,long
Holandrena,[8-10],not,not,not,not,not,not,not,absent|broad,granular|smooth,dense|1-3,dark,present,pale,longer,normal,dull,present|absent,pale,shallow,shallow,long,less|equal,broad|moderate,quadrate|broad,short|moderate,entire|weak,short,bidentate,present|present_broad,2xgalea|3xgalea,more,normal,normal,normal,normal|narrow,pale,simple,incomplete,weak,dark,dark,present|weak,incomplete,absent,5-50|50-80,coarse|dull,3-Jan,dull,3,long
